FECHA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;TOTAL
1/10/2021;13,6;13,87;13,44;13,01;16,87;30,44;30,38;32,29;31,07;32,5;26,03;25,04;31,87;31,42;30,8;29,17;22,88;25,37;14,21;10,39;10,7;12,7;11,77;10,55;520,37
2/10/2021;10,18;10,75;11,26;11,81;16,76;26,34;29,63;26,14;28,21;37,54;37,46;45,27;51,43;51,58;45,52;39,41;31,6;26,12;19,71;15,05;14,12;17,18;15,72;15,03;633,82
3/10/2021;14,24;14,57;15,64;16,54;22,62;28,54;32,6;29,36;29,75;47,83;47,66;48,45;51,13;51,35;50,54;34,28;25,22;25,09;15,01;16,38;12,88;14,75;15,92;11,25;671,6
4/10/2021;11,98;14,65;11,92;12,08;18,66;27,55;32,19;30,78;31,72;48,64;45,37;49,67;50,22;51,71;37,87;36,7;28,37;25,4;18,12;8,39;10,6;14,26;15,36;8,82;641,03
5/10/2021;9,07;8,09;11,62;11,54;15,22;23,98;33,51;27,46;27,42;32,15;27,44;33,46;34,01;35,69;33,98;31,01;25,88;26,95;16,98;14,84;10,42;14,81;12,83;8,67;527,03
6/10/2021;11,92;10,22;9,81;14,33;16,57;24,34;36,34;35,24;29,96;30,47;28,61;28,33;29,93;31,31;23,84;33,47;24,71;21,17;15,01;11,06;8,09;15,92;10,88;10,45;511,98
7/10/2021;11,43;9,4;13,42;11,81;18,61;29,48;34,75;30,01;27,46;29,51;32,29;38,48;33,76;40,7;51,58;34,96;22,43;27;11;10,52;11,43;11,67;13,44;9,29;564,43
8/10/2021;10,05;10,09;8,75;12,65;17,15;25,55;30,72;25,71;26,03;36,21;41,32;41,27;40,07;36,1;33,97;33,79;22,26;28,12;12,45;8,65;8,94;14,24;11;8,99;544,08
9/10/2021;9,72;10,58;10,03;12,78;18;24,64;32,66;29,82;26,5;25,24;20,01;30,27;41,92;41,22;42,41;29,99;23,7;25,05;15,72;10,2;8,65;11,57;13,01;6,9;520,59
10/10/2021;8,24;8,7;10,7;12,75;16,48;27,18;31,58;21,87;21,49;31,47;20,93;23,2;27,68;32,88;31,2;26,77;19,8;24,7;9,7;7,23;8,61;9,82;6,22;7,85;447,05
11/10/2021;7,39;6,8;0;0;10,21;23,54;28,75;29,73;29,53;26,38;26,5;27,14;26,35;25,38;24,58;27,43;24,4;25,91;12,65;12,04;10,64;15,09;12,71;9,14;442,29
12/10/2021;8,84;11,49;9,61;12,76;16,92;30,17;31,85;31,64;35,14;28,54;22,43;30,29;41,83;36,44;40,19;25,47;20,18;23,68;9,43;7,43;8,81;10,12;8,81;8,82;510,89
13/10/2021;7,39;6,9;8,87;10,86;16,85;25,15;31,33;28,44;28,91;32,14;32,79;32,51;27,93;30,37;42,24;36,67;25,18;27,67;16,48;12,37;11,96;12,43;12,08;11,71;529,23
14/10/2021;11,11;13,33;11,66;16,26;22,23;29,55;37,37;32,18;37,19;36,78;40,07;35,62;44,26;53,95;52,94;41,21;25,35;27,82;11,56;7,76;7,03;8,62;11,11;8,3;623,26
15/10/2021;7,49;7,63;7,58;14,04;17,2;24,82;33,58;31,51;31,63;33,31;34,31;28,95;27,07;27,56;25,46;23,27;17,81;23,65;9,71;7,04;6,19;9,75;8,5;6,53;464,59
16/10/2021;7,3;6,32;6,61;11,44;16,1;24,05;30,61;25,61;24,04;27,12;25,01;21,44;26,3;31,87;27,96;25,7;20,9;24,73;14,83;11,36;11,72;15,22;13,19;11,56;460,99
17/10/2021;11,84;12,55;12,19;15,82;22,84;26,86;34,18;23,85;20,83;24,74;23,2;21,35;20,92;19,03;23,65;24,89;17,8;21,28;9,31;6,95;7,25;11,09;8,62;6,35;427,39
18/10/2021;6,53;7,41;6,58;12,44;16,42;24,44;31,4;24,04;25,24;23,05;25,67;34,58;43,11;42,95;33,13;31,1;24,04;25,75;12,23;11,11;11,33;14,33;11,84;10,13;508,85
19/10/2021;11,01;11,3;10,39;17,39;20,23;25,39;33,44;28,84;31,36;31,54;31,26;34,1;46,77;41,9;28,49;31,03;23,58;28,32;16,63;13,55;10,8;13,84;12,67;10,21;564,04
20/10/2021;10,72;11,69;10,55;16,14;20,04;28,02;33,46;25,92;25,39;32,18;28,99;24,15;27,37;22,89;27,92;30,41;23,11;27,75;16,3;13,28;10,58;13,56;12,42;10,01;502,85
21/10/2021;10,51;11,46;10,34;15,82;19,64;27,46;32,79;25,4;24,88;31,54;28,41;23,67;26,82;22,43;27,36;29,8;22,65;27,2;15,97;13,01;10,37;13,29;12,17;9,81;492,8
22/10/2021;10,62;11,57;10,44;15,98;19,84;27,73;33,12;25,65;25,13;31,86;28,69;23,91;27,09;22,65;27,63;30,1;22,88;27,47;16,13;13,14;10,47;13,42;12,29;9,91;497,72
23/10/2021;10,73;11,69;10,54;16,14;20,04;28,01;33,45;25,91;25,38;32,18;28,98;24,15;27,36;22,88;27,91;30,4;23,11;27,74;16,29;13,27;10,58;13,55;12,41;10,01;502,71
24/10/2021;10,52;11,46;10,33;15,82;19,64;27,45;32,78;25,39;24,87;31,54;28,4;23,67;26,81;22,42;27,35;29,79;22,65;27,18;15,96;13;10,37;13,28;12,16;9,81;492,65
25/10/2021;10,62;11,58;10,43;15,98;19,84;27,72;33,11;25,64;25,12;31,86;28,68;23,91;27,08;22,64;27,62;30,09;22,88;27,45;16,12;13,13;10,47;13,41;12,28;9,91;497,57
26/10/2021;10,73;11,7;10,53;16,14;20,04;28;33,44;25,9;25,37;32,18;28,97;24,15;27,35;22,87;27,9;30,39;23,11;27,72;16,28;13,26;10,58;13,54;12,4;10,01;502,56
27/10/2021;10,84;11,82;10,64;16,3;20,24;28,28;33,77;26,16;25,62;32,5;29,26;24,39;27,62;23,1;28,18;30,69;23,34;28;16,44;13,39;10,69;13,68;12,52;10,11;507,58
28/10/2021;10,95;11,94;10,75;16,46;20,44;28,56;34,11;26,42;25,88;32,83;29,55;24,63;27,9;23,33;28,46;31;23,57;28,28;16,6;13,52;10,8;13,82;12,65;10,21;512,66
29/10/2021;11,06;12,06;10,86;16,62;20,64;28,85;34,45;26,68;26,14;33,16;29,85;24,88;28,18;23,56;28,74;31,31;23,81;28,56;16,77;13,66;10,91;13,96;12,78;10,31;517,8
30/10/2021;7,16;6,19;6,47;11,21;15,78;23,57;30;25,1;23,56;26,58;24,51;21,01;25,77;31,23;27,4;25,19;20,49;24,23;14,54;11,13;11,48;14,92;12,93;11,33;451,78
31/10/2021;11,6;12,3;11,94;15,51;22,38;26,32;33,5;23,37;20,42;24,24;22,74;20,93;20,5;18,65;23,18;24,4;17,44;20,86;9,12;6,81;7,1;10,87;8,45;6,23;418,86
MATRIZ DE ENERGIA REACTIVA (ID:LA ESPERANZA);;;;;;;;;;;;;;;;;;;;;;;;;
1/10/2021;0;0;0,1;0;0,01;0,12;0,14;0,25;0,92;0,02;0,01;0,1;1,17;1,81;0,58;0,07;0;0,13;0;0;0;0;0;0;5,43
2/10/2021;0;0;0;0,01;0;0,01;0,14;0;0,25;1,01;2,81;8,16;12,39;11,95;6,71;2,67;0,79;0,87;0,05;0,01;0;0,01;0,01;0,01;47,86
3/10/2021;0;0,01;0,05;0;0,05;0,04;0,5;0,03;0,91;8,33;9,68;10,81;11,96;11,78;10,55;2,24;0,74;0,83;0;0,01;0;0;0;0;68,52
4/10/2021;0;0,01;0;0;0;0,02;0,78;0,13;1;8,53;8,88;12,08;12,04;12,14;3,51;2,57;2,38;0,57;0,01;0;0;0;0;0;64,65
5/10/2021;0;0;0;0;0;0,03;0,38;0,02;0,11;0,36;0,8;2,47;3,08;3,58;4,99;1,54;0,17;0,48;0;0;0,02;0;0;0;18,03
6/10/2021;0;0;0;0,01;0;0;1,25;0,34;0,34;0,82;1,51;1,91;1,87;0,86;0,16;0,85;0,14;0,02;0,01;0,01;0;0,01;0;0;10,11
7/10/2021;0;0;0,01;0;0;0,05;0,39;0,03;0,16;1,14;2,39;5,99;2,98;7,09;11,81;2,07;0,1;0,77;0;0,01;0;0;0;0;34,99
8/10/2021;0,01;0;0;0;0;0;0,02;0;0,22;1,69;5,86;2,87;6,28;3,55;2,26;1,87;0,49;0,67;0;0;0;0;0;0,01;25,8
9/10/2021;0,01;0;0;0;0;0,01;0,31;0,4;0,13;0,06;0,01;1,42;7,73;5,99;7,47;0,43;0,18;0,58;0,04;0;0;0;0;0;24,77
